"ID_BUILD","ID_SOURCE"
"1385","w120594316"
"1386","w120593375"
"1387","w120592695"
"1388","w120593133"
"1389","w120594556"
"1390","w120594211"
"1391","w120594940"
"1392","w120591921"
"1393","w120592104"
"1394","w120594292"
"1395","w120594636"
"1396","w120593841"
"1397","w120591181"
"1398","w120592593"
"1399","w120593550"
"1400","w120590016"
"1401","w120591800"
"1402","w120593988"
"1403","w120591880"
"1404","w120594370"
"1405","w120593552"
"1406","w120594844"
"1407","w120593300"
"1408","w120589476"
"1409","w120589630"
"1410","w120594187"
"1411","w120591601"
"1412","w120591797"
"1413","w120591340"
"1414","w120590612"
"1415","w120594170"
"1416","w120594529"
"1417","w120593953"
"1418","w120593686"
"1419","w120594023"
"1420","w120594100"
"1421","w120594630"
"1422","w120590590"
"1423","w120590792"
"1424","w120594732"
"1425","w120593977"
"1426","w120592589"
"1427","w120590604"
"1428","w120592996"
"1429","w120589479"
"1430","w120594121"
"1431","w120593936"
"1432","w120591838"
"1433","w120589499"
"1434","w120594696"
"1435","w120590871"
"1436","w120590490"
"1437","w120589678"
"1438","w120592813"
"1439","w120594523"
"1440","w120592095"
"1441","w120589957"
"1442","w120594955"
"1443","w120591757"
"1444","w120592548"
"1445","w120593834"
"1446","w120589435"
"1447","w120592587"
"1448","w120592951"
"1449","w120593091"
"1450","w120594431"
"1451","w120593167"
"1452","w120593464"
"1453","w120593887"
"1454","w120592803"
"1455","w120593847"
"1456","w120590199"
"1457","w120593176"
"1458","w120594163"
"1459","w120594364"
"1460","w120591665"
"1461","w120590779"
"1462","w120591997"
"1463","w120593718"
"1464","w120591946"
"1465","w120591216"
"1466","w120592463"
"1467","w120592866"
"1468","w120594126"
"1469","w120590313"
"1470","w120593497"
"1471","w120593564"
"1472","w120592425"
"1473","w120591590"
"1474","w120592726"
"1475","w120592052"
"1476","w120591875"
"1477","w120593405"
"1478","w120594060"
"1479","w120594804"
"1480","w120592667"
"1481","w120589815"
"1482","w120593055"
"1483","w120592539"
"1484","w120593369"
"1485","w120592762"
"1486","w120592089"
"1487","w120593198"
